pcode,name,birth,age,height,weight,pitch_type,team
66657,이진영,19970721,26,183.0,89.0,RO,한화
66917,김찬형,19971229,26,182.0,83.0,RO,SSG
52868,이기순,20030514,21,174.0,74.0,LO,SSG
65665,이준영,19920810,31,177.0,85.0,LO,KIA
76225,김건국,19880202,36,183.0,86.0,RO,KIA
54460,김호진,20050716,18,183.0,84.0,RO,삼성
50868,류효승,19960716,27,190.0,100.0,RO,SSG
66145,김대현,19970308,27,188.0,100.0,RO,LG
68504,이호연,19950603,28,177.0,87.0,RO,KT
68043,김민,19990414,25,185.0,88.0,RO,KT
66047,박세진,19970627,26,178.0,93.0,LO,KT
53400,김재상,20040726,19,180.0,81.0,RO,삼성
53455,이호성,20040814,19,184.0,87.0,RO,삼성
68205,전민재,19990630,24,181.0,73.0,RO,두산
69207,김태근,19960810,27,175.0,74.0,RO,두산
54795,황영묵,19991016,24,177.0,80.0,RO,한화
77318,장시환,19871101,36,184.0,97.0,RO,한화
68896,이채호,19981123,25,185.0,85.0,RU,KT
66614,김규성,19970308,27,183.0,73.0,RO,KIA
54148,진우영,20010205,23,188.0,97.0,RO,LG
63512,박진형,19940610,29,181.0,77.0,RO,롯데
53164,김동규,20040709,19,194.0,100.0,RO,키움
51713,김규연,20020823,21,183.0,91.0,RO,한화
52002,김병준,20030703,20,175.0,80.0,RO,KT
60559,박시영,19890310,35,180.0,88.0,RO,KT
53554,김민석,20040509,20,185.0,83.0,RO,롯데
66112,김기연,19970907,26,178.0,106.0,RO,두산
61643,홍건희,19920929,31,187.0,97.0,RO,두산
67900,김수윤,19980716,25,180.0,83.0,RO,NC
69962,송명기,20000809,23,191.0,93.0,RO,NC
50600,홍종표,20000502,24,178.0,72.0,RO,KIA
54537,정현수,20010510,23,180.0,84.0,LO,롯데
51546,정우준,20000317,24,180.0,82.0,RO,롯데
63638,박준표,19920626,31,181.0,93.0,RU,KIA
74163,이용규,19850826,38,170.0,74.0,LO,키움
53568,정대선,20041116,19,185.0,85.0,RO,롯데
68585,김도규,19980711,25,192.0,118.0,RO,롯데
50430,홍원표,20010327,23,183.0,86.0,RO,삼성
69766,유로결,20000530,23,186.0,83.0,RO,한화
69974,배민서,19991118,24,184.0,90.0,RU,한화
63894,김사윤,19940608,29,182.0,90.0,LO,KIA
67828,김성민,19940426,30,181.0,90.0,LO,키움
52415,이재현,20030204,21,180.0,82.0,RO,삼성
68904,오영수,20000130,24,178.0,93.0,RO,NC
68900,김영규,20000210,24,188.0,86.0,LO,NC
67005,홍현빈,19970829,26,174.0,70.0,RO,KT
54064,육청명,20050718,18,186.0,90.0,RO,KT
69645,장지수,20000525,24,179.0,80.0,RO,한화
53144,김범석,20040521,20,178.0,110.0,RO,LG
52395,윤석원,20030704,20,185.0,81.0,LO,키움
66715,김인환,19940128,30,186.0,100.0,RO,한화
65898,김웅빈,19960209,28,182.0,97.0,RO,키움
65115,안익훈,19960212,28,176.0,76.0,LO,LG
53569,서동욱,20000324,24,175.0,88.0,RO,롯데
63292,박소준,19950121,29,177.0,68.0,RO,두산
69047,전용주,20000212,24,188.0,87.0,LO,KT
53259,최준호,20040603,19,188.0,90.0,RO,두산
69516,김현수,20000710,23,185.0,90.0,RO,KIA
54149,정지헌,20031211,20,180.0,85.0,RO,LG
50904,이종준,20010309,23,191.0,93.0,RO,LG
51454,이승현,20020519,22,183.0,102.0,LO,삼성
68525,한동희,19990601,24,182.0,108.0,RO,롯데
68868,최준우,19990325,25,176.0,78.0,RO,SSG
66706,장진혁,19930930,30,184.0,90.0,RO,한화
54394,송지후,20050108,19,175.0,74.0,RO,키움
66305,박승주,19940212,30,183.0,96.0,RO,키움
79764,장민재,19900319,34,184.0,106.0,RO,한화
69508,신윤후,19960105,28,177.0,77.0,RO,롯데
51528,손성빈,20020114,22,186.0,92.0,RO,롯데
69825,김창평,20000614,23,185.0,85.0,RO,SSG
50115,김태우,19971019,26,178.0,81.0,RO,LG
54214,전다민,20010821,22,177.0,75.0,RO,두산
53305,박성빈,20040421,20,177.0,94.0,RO,키움
66707,박상언,19970303,27,185.0,90.0,RO,한화
51154,김진수,19980831,25,179.0,82.0,RO,LG
52397,이명종,20021205,21,180.0,84.0,RO,키움
67640,유승철,19980302,26,184.0,87.0,RO,KIA
68110,송찬의,19990220,25,182.0,77.0,RO,LG
64893,박민호,19920225,32,185.0,95.0,RU,SSG
68089,조대현,19990806,24,183.0,81.0,RO,KT
69306,김주형,19960305,28,173.0,84.0,RO,키움
50354,이종민,20010604,22,185.0,96.0,LO,키움
61895,서진용,19921002,31,184.0,88.0,RO,SSG
50157,김윤식,20000403,24,181.0,83.0,LO,LG
69159,정우영,19990819,24,193.0,99.0,RU,LG
53262,김유성,20020101,22,190.0,98.0,RO,두산
64984,김태진,19951007,28,169.0,73.0,RO,키움
62947,나성범,19891003,34,183.0,100.0,LO,KIA
77263,김강률,19880828,35,187.0,95.0,RO,두산
53301,박윤성,20040208,20,183.0,96.0,RO,키움
65241,채원후,19950711,28,180.0,70.0,RO,NC
52103,최원영,20030718,20,174.0,76.0,RO,LG
54404,육선엽,20050713,18,190.0,90.0,RO,삼성
54507,백두산,20010520,23,180.0,95.0,RO,롯데
76650,진해수,19860626,37,187.0,85.0,LO,롯데
51005,김건형,19960712,27,182.0,83.0,RO,KT
63749,이충호,19940920,29,182.0,82.0,LO,한화
53302,이승원,20040702,19,185.0,75.0,RO,키움
