,gameId,umpire
807,20220428LGSS02022,유덕형
808,20220428NCOB02022,김준희
809,20220428SKLT02022,김태완
810,20220428WOHH02022,김정국
811,20220429HHNC02022,김익수
812,20220429KTWO02022,김성철
813,20220429LTLG02022,장준영
814,20220429OBSK02022,원현식
815,20220429SSHT02022,오훈규
816,20220430HHNC02022,전일수
817,20220430KTWO02022,박근영
818,20220430LTLG02022,김병주
819,20220430OBSK02022,구명환
820,20220430SSHT02022,차정구
821,20220501HHNC02022,송수근
822,20220501KTWO02022,배병두
823,20220501LTLG02022,윤태수
824,20220501OBSK02022,이영재
825,20220501SSHT02022,문승훈
826,20220503HHSK02022,박기택
827,20220503LTKT02022,이기중
828,20220503NCSS02022,추평호
829,20220503WOHT02022,나광남
830,20220504HHSK02022,김준희
831,20220504LTKT02022,문동균
832,20220504NCSS02022,우효동
833,20220504WOHT02022,정종수
834,20220505HHSK02022,김성철
835,20220505LTKT02022,함지웅
836,20220505NCSS02022,장준영
837,20220505WOHT02022,박종철
838,20220506HTHH02022,김병주
839,20220506KTOB02022,이계성
840,20220506LGNC02022,원현식
841,20220506SKWO02022,전일수
842,20220506SSLT02022,최영주
843,20220507HTHH02022,윤태수
844,20220507KTOB02022,권영철
845,20220507LGNC02022,구명환
846,20220507SKWO02022,송수근
847,20220507SSLT02022,박근영
848,20220508HTHH02022,추평호
849,20220508KTOB02022,나광남
850,20220508LGNC02022,이영재
851,20220508SKWO02022,윤상원
852,20220508SSLT02022,배병두
853,20220510HHLG02022,이용혁
854,20220510KTHT02022,이민호
855,20220510NCLT02022,정종수
856,20220510OBWO02022,박기택
857,20220510SKSS02022,이기중
858,20220511HHLG02022,최수원
859,20220511KTHT02022,김익수
860,20220511NCLT02022,박종철
861,20220511OBWO02022,김준희
